Genero,Campesino,Estrato,Autoidentificacion_Etnica,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Eje_tematico,Eje Final,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,linea_1_des_programacion,linea_2_des_inteligecia_artificial,linea_3_des_analisis_de_datos,linea_4_des_blockchain,linea_5_des_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,area_1_des_alfabetizacion_datos,area_2_des_comunicacion_y_colaboracion,area_3_des_contenidos_digitales,area_4_des_seguridad,area_5_des_solucion_de_problemas,Matriculado (SI o NO),"Estado (FORMADO, NO APROBADO, INACTIVO, EN FORMACION)",Programa de Formación (Nombre del Curso),"Cohorte (1,2,3,4,5,6,7 o 8)","Tipo de formación (PRESENCIAL,VIRTUAL,HIBRIDO)",Nivel,Asistencia horas,Total_horas posibles,dia,mes,year
1.0,0,2,0,2,0,0,0,1,5988,0,0,84.6429,84.6429,84.5536,84.8214,85.1786,81.3393,0,0,0,0,0,94,98,99,97,83,31,0,0,0,0,0,1,1,5,13,1,3,159,1,16,12,2023
0.0,0,2,0,4,0,0,0,1,5912,1,1,74.2857,74.6429,70.8036,74.2857,72.0536,71.6071,2,2,2,2,2,87,73,91,80,76,13,0,2,0,2,2,1,2,1,0,2,1,0,1,18,12,2023
0.0,1,3,2,6,0,0,0,1,7044,2,2,70.0893,71.6964,70.0893,76.6964,73.125,58.3929,2,2,2,2,1,93,88,100,82,29,14,0,0,0,0,1,1,3,4,0,2,1,21,1,18,12,2023
0.0,0,2,0,5,0,0,0,1,3076,3,3,65.5357,65.2679,63.9286,68.3036,65.5357,65.5357,2,2,2,2,2,85,68,74,71,70,19,0,2,2,2,2,1,1,5,0,1,2,159,1,17,12,2023
1.0,0,2,0,2,0,0,0,1,7061,2,2,83.2143,82.8571,83.2143,81.7857,80.8929,80.1786,0,0,0,0,0,88,96,98,88,88,28,0,0,0,0,0,1,3,4,0,2,3,90,1,16,12,2023
1.0,1,1,1,5,0,0,0,1,1234,1,1,23.5714,5.89286,5.89286,23.5714,11.7857,11.7857,1,1,1,1,1,66,0,0,0,0,0,2,1,1,1,1,1,2,1,0,2,1,0,1,18,12,2023
1.0,0,3,0,5,0,0,0,1,5121,0,0,84.375,84.375,82.3214,85.8036,83.125,81.3393,0,0,0,0,0,101,90,101,91,84,37,0,0,0,0,0,1,1,5,0,1,1,159,1,16,12,2023
1.0,0,1,0,5,0,0,0,1,5926,2,2,75,75.0893,75,76.4286,76.7857,74.375,2,2,2,2,2,88,85,84,88,78,19,0,0,0,0,2,1,1,4,0,2,2,159,1,17,12,2023
1.0,0,2,0,7,0,0,0,1,7080,3,3,81.9643,84.1964,85.4464,81.4286,81.9643,82.1429,0,0,0,0,0,83,100,98,90,94,22,0,0,0,0,0,1,1,1,11,2,1,156,1,16,12,2023
1.0,1,2,2,6,0,0,0,1,7112,1,1,68.0357,54.0179,58.3929,68.0357,44.9107,35.3571,1,1,2,1,1,94,87,101,10,0,9,0,0,0,1,1,1,1,1,0,2,2,159,1,18,12,2023
,0,3,0,2,0,0,0,1,5818,2,2,81.4286,82.3214,81.4286,80.3571,77.8571,78.0357,0,0,0,2,2,86,92,102,82,86,34,0,0,0,0,0,1,1,4,0,2,3,153,1,17,12,2023
1.0,1,2,0,6,0,0,0,1,4271,1,1,85.625,88.3036,86.3393,85.625,84.5536,84.6429,0,0,0,0,0,92,95,107,93,94,28,0,0,0,0,0,1,3,1,0,1,3,77,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,6633,1,1,80.1786,81.4286,79.2857,80.1786,81.25,78.75,0,2,0,0,2,89,87,95,95,83,37,0,0,0,0,0,1,3,1,0,2,3,48,1,16,12,2023
1.0,0,4,0,6,0,0,0,1,6852,1,1,81.25,81.25,80.625,81.25,80.625,78.9286,0,0,0,0,2,91,91,95,90,84,24,0,0,0,0,0,1,1,1,0,2,2,159,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,6887,0,0,85.5357,85.5357,83.3036,84.0179,83.4821,82.4107,0,0,0,0,0,93,91,102,94,89,34,0,0,0,0,0,1,1,5,11,2,1,159,1,18,12,2023
0.0,0,3,0,6,0,0,1,1,7078,4,4,72.7679,80.7143,79.7321,81.5179,80.8036,72.7679,0,2,0,0,2,91,95,102,92,63,29,0,0,0,0,2,1,1,2,9,2,1,159,1,17,12,2023
0.0,0,1,0,7,0,0,0,1,7074,1,1,75.7143,67.5,67.3214,75.7143,71.875,48.8393,2,2,2,2,1,94,94,101,82,0,20,0,0,0,0,1,1,1,1,0,2,1,159,1,18,12,2023
1.0,0,2,0,6,0,1,0,1,6272,0,0,85.2679,85.2679,82.5,84.375,83.6607,81.1607,0,0,0,0,0,95,90,103,95,84,25,0,0,0,0,0,1,3,5,0,1,2,54,1,18,12,2023
0.0,0,2,0,6,0,0,0,1,6937,2,2,80,80.7143,80,81.25,79.375,75.0893,0,2,0,2,2,91,93,100,87,73,28,0,0,0,0,2,1,1,4,11,2,1,159,1,18,12,2023
1.0,0,2,0,4,0,0,0,1,6817,0,0,86.9643,86.9643,85.9821,84.4643,84.7321,84.6429,0,0,0,0,0,90,96,102,95,95,28,0,0,0,0,0,1,1,5,9,2,1,159,1,17,12,2023
0.0,0,2,0,5,0,0,0,1,6690,0,0,82.0536,82.0536,81.3393,83.3036,82.1429,77.4107,0,0,0,0,2,95,94,99,92,75,26,0,0,0,0,2,1,1,5,0,2,3,159,1,18,12,2023
1.0,0,2,0,4,0,0,0,1,7147,0,0,81.6071,81.6071,81.1607,82.5,80.3571,78.8393,0,0,0,0,2,94,92,97,87,83,26,0,0,0,0,0,1,1,5,9,2,1,159,1,18,12,2023
0.0,0,1,0,2,0,0,0,1,6315,0,0,50.8929,50.8929,59.6429,67.6786,42.4107,33.8393,1,1,2,1,1,94,96,95,0,0,11,0,0,0,1,1,1,1,5,9,2,1,159,1,16,12,2023
